fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.725130124573015,0.984,0.101421014118821,0.0691893956487387,0.71354681564039,0.0976757660477247,0.64425,0.447771053850812,0.0984520123839009,0.0775614402464445,0,0,21284.9937531727,1431.88812665912,1.17202901067965e-311,5
Q,1,fc.Q_rm.1,0.74348637223212,0.96,0.0748519605905299,0.0421268964570146,0.746347468905828,0.0664023331501832,0.81,0.3024444852641,0.0984864121087031,0.0740520855167978,0.00441176470588235,0.00563192416327258,20858.709038461,1005.60341194741,4.32004251823987e-219,5
H,1,fc.H_rm.1,0.866916372070819,0.988,0.0370876838824892,0.0313290701058711,0.838801667577186,0.0232090301734681,0.8795,0.0606217782649107,0.0984004127966976,0.0379799601973153,0.00735294117647059,0.0147058823529412,19866.6160001112,13.5103735975863,0.00116346699061243,107
LQH,1,fc.LQH_rm.1,0.866896986383997,0.988,0.0385316602331241,0.032574540409731,0.836961089466983,0.0241849033532876,0.87775,0.0652552679865771,0.0969298245614035,0.0397902413805914,0.00735294117647059,0.0147058823529412,19853.1056265136,0,0.99883652975856,102
L,2,fc.L_rm.2,0.724577410525067,0.984,0.101421349349136,0.0736087186067671,0.714592547514382,0.0985615691134767,0.642,0.462521350858531,0.0984520123839009,0.0775614402464445,0,0,21272.1555873257,1419.04996081215,7.18969809645533e-309,5
Q,2,fc.Q_rm.2,0.742007584686965,0.967,0.0755232438586896,0.0461803805808485,0.7475205626149,0.0662062291907789,0.8255,0.273122072829471,0.097015823873409,0.0778660870878437,0.00294117647058824,0.00588235294117647,20862.3307451819,1009.22511866829,7.06389766913695e-220,5
H,2,fc.H_rm.2,0.862306130183322,0.989,0.0361776589307455,0.0352768445267871,0.841531983233402,0.0246412294600906,0.87575,0.0671186759901196,0.0808135534915721,0.0431314149201912,0,0,19905.3446529236,52.239026409974,4.52828718592551e-12,94
LQH,2,fc.LQH_rm.2,0.86220505824363,0.99,0.0401459383562665,0.0381406677774843,0.838851298098211,0.0287752591887502,0.86525,0.0719322598004539,0.0881664946680427,0.0531213288076476,0,0,19939.6398286992,86.5342021856377,1.61745111839522e-19,107
L,3,fc.L_rm.3,0.723964689637374,0.976,0.101276315765339,0.0779938764504582,0.715513660985945,0.0992487324104409,0.63525,0.475091833228061,0.0955108359133127,0.0743689511381715,0,0,21256.9876203628,1403.88199384923,1.41381580101922e-305,4
Q,3,fc.Q_rm.3,0.740141823317075,0.98,0.0767678012153361,0.0497085476362545,0.748454982449831,0.0662097466569764,0.83175,0.250995849899289,0.0984864121087031,0.0763526825372417,0.00147058823529412,0.00294117647058824,20863.6609935435,1010.55536702987,3.63232448072625e-220,4
H,3,fc.H_rm.3,0.860113771784296,0.99,0.0310941390737807,0.031345327577379,0.84843899158713,0.0296076425368639,0.8525,0.0520544586626993,0.0734606123151015,0.0342025134756831,0,0,19892.1950523818,39.0894258681983,3.2458873208197e-09,74
LQH,3,fc.LQH_rm.3,0.859578519652721,0.99,0.0362186812677344,0.0370370402064545,0.842114076289042,0.0356398527247243,0.83775,0.0867001537868686,0.0881664946680427,0.0596661813616473,0,0,19924.2513693044,71.1457427908135,3.55134336612302e-16,86
L,4,fc.L_rm.4,0.723446603457489,0.965,0.100594951451669,0.0818860659817271,0.716122144901708,0.0995634253206701,0.6355,0.473344483436746,0.0969900240798074,0.0775784726177578,0,0,21240.4974379487,1387.39181143513,5.38505874222862e-302,4
Q,4,fc.Q_rm.4,0.739401763623957,0.982,0.0784530940977748,0.0537031023624598,0.749821911310833,0.0669284785481814,0.829,0.250123969263244,0.0955538355693154,0.0795984378051082,0.00147058823529412,0.00294117647058824,20857.3567952357,1004.25116872214,8.49422785577584e-219,3
H,4,fc.H_rm.4,0.857159452305513,0.98,0.0244414792058973,0.0180937456194632,0.846661138461371,0.0275815720950764,0.849,0.038747042897921,0.0764103887168903,0.0419386717711994,0,0,19910.8464599138,57.7408334001884,2.89222285723787e-13,64
LQH,4,fc.LQH_rm.4,0.856082362828138,0.982,0.0297362669246882,0.0312766524921725,0.839621215107272,0.0326765243035151,0.80575,0.126905148306389,0.0984520123839009,0.0683946640434728,0,0,19912.8109829394,59.705356425784,1.08303127793934e-13,65
L,5,fc.L_rm.5,0.722818048459186,0.957,0.100766977954016,0.0839527465582461,0.716627966976264,0.0997927470615698,0.633,0.476231736307721,0.0999312005503956,0.0808578391938532,0,0,21226.1591221338,1373.0534956202,6.99384759457107e-299,4
Q,5,fc.Q_rm.5,0.739035803291808,0.979,0.0801820903261266,0.0580721470442384,0.751067101702025,0.0678953589481257,0.82175,0.251233457166835,0.0896972824217406,0.086513707557447,0.00147058823529412,0.00294117647058824,20851.7211347085,998.615508194933,1.42197526205388e-217,3
H,5,fc.H_rm.5,0.855142378990769,0.979,0.023731486362928,0.019686957693218,0.844141115953003,0.0267868816556436,0.81975,0.0697489545919268,0.0734778121775026,0.0527728329710597,0,0,19916.9318996744,63.8262731607865,1.37973378884338e-14,55
LQH,5,fc.LQH_rm.5,0.8534257098306,0.978,0.0326435108291321,0.0304557731168753,0.836484092285278,0.0327951549677371,0.77325,0.137887333235024,0.0955194358445133,0.0707126005221843,0,0,19950.4458856256,97.3402591119848,7.28325838388353e-22,68
L,6,fc.L_rm.6,0.722242397148203,0.952,0.102070760232962,0.0817601873188113,0.717931468419662,0.0985155722617784,0.64075,0.459894462530988,0.102872377020984,0.0827644153470949,0,0,21213.8403737879,1360.73474727434,3.30901228477978e-296,4
Q,6,fc.Q_rm.6,0.73861634734297,0.978,0.0817600583702765,0.0625260698140142,0.752064489188007,0.0688111906390361,0.836,0.211149236323506,0.0823529411764706,0.0879078892998427,0.00147058823529412,0.00294117647058824,20847.2935718799,994.187945366284,1.30114319131184e-216,3
H,6,fc.H_rm.6,0.850970460800735,0.984,0.0249532301363217,0.0201909403535854,0.841279115096113,0.0287901080061386,0.81975,0.0654949107437619,0.0720072239422085,0.0486483414787234,0,0,19940.729677358,87.6240508443771,9.37936712532288e-20,48
LQH,6,fc.LQH_rm.6,0.847934677042597,0.982,0.0368873394888609,0.0285246656444282,0.834540243500686,0.0340087572117667,0.73925,0.127766388381295,0.0925954592363261,0.0774027003072136,0,0,19960.6546034021,107.548976888516,4.42110489016089e-24,55
L,7,fc.L_rm.7,0.721555241142406,0.948,0.102150496341563,0.0812280351617291,0.718694726830374,0.0969991838310302,0.65025,0.435929180028133,0.10140178878569,0.0809129809109349,0,0,21203.4410874411,1350.33546092746,5.99618077421121e-294,4
Q,7,fc.Q_rm.7,0.738181131274692,0.976,0.0832617668051588,0.0671094109043713,0.752925667907768,0.069678118171092,0.832,0.216474786830553,0.0794117647058823,0.0909389696102371,0.00147058823529412,0.00294117647058824,20844.0472901106,990.941663596976,6.59547719491672e-216,3
H,7,fc.H_rm.7,0.845455898820329,0.987,0.0284111610775155,0.0248370670908659,0.837797749326158,0.0316111011426752,0.811,0.0573585215987999,0.0675954592363261,0.0486717328745042,0,0,19983.0083494164,129.902722902832,6.18694915088845e-29,50
LQH,7,fc.LQH_rm.7,0.841049798573835,0.983,0.0388079457089628,0.0269874933558088,0.832049236985123,0.0319081197135019,0.737,0.103366661292056,0.0896542827657379,0.0788761929843265,0,0,19983.0810792494,129.975452735816,5.96600295453221e-29,48
L,8,fc.L_rm.8,0.720690728299536,0.946,0.102254074343338,0.080948335819412,0.719944940853655,0.0957834743524212,0.66125,0.41839405269833,0.0984606123151015,0.0775616252351873,0,0,21192.4694179022,1339.36379138865,1.44658010057666e-291,3
Q,8,fc.Q_rm.8,0.737593123438139,0.973,0.0846958428551831,0.0717357747361506,0.753560516250325,0.0705142062186605,0.83375,0.214524862583959,0.0794117647058823,0.0909389696102371,0.00147058823529412,0.00294117647058824,20841.9687601049,988.863133591334,1.86463262626171e-215,3
H,8,fc.H_rm.8,0.841060009355444,0.992,0.0284900555792151,0.0252889595844298,0.833109872055418,0.0343485537171808,0.79625,0.101460583479497,0.0690574475404197,0.0474420846084326,0,0,19982.0311884813,128.925561967717,1.00847316816995e-28,35
LQH,8,fc.LQH_rm.8,0.836486171124117,0.982,0.0403837051342214,0.0237060737150246,0.829582604596847,0.028192264390183,0.7685,0.119391512819519,0.0867131062951496,0.0770988489412095,0,0,19991.0932144924,137.987587978845,1.08610147111973e-30,38
